zip,state_id,state_name
1730,MA,Massachusetts
1731,MA,Massachusetts
1740,MA,Massachusetts
1741,MA,Massachusetts
1742,MA,Massachusetts
1745,MA,Massachusetts
1746,MA,Massachusetts
1747,MA,Massachusetts
1748,MA,Massachusetts
1749,MA,Massachusetts
1752,MA,Massachusetts
1754,MA,Massachusetts
1756,MA,Massachusetts
1757,MA,Massachusetts
1760,MA,Massachusetts
1770,MA,Massachusetts
1772,MA,Massachusetts
1773,MA,Massachusetts
1775,MA,Massachusetts
1776,MA,Massachusetts
1778,MA,Massachusetts
1801,MA,Massachusetts
1803,MA,Massachusetts
1810,MA,Massachusetts
1821,MA,Massachusetts
1824,MA,Massachusetts
1826,MA,Massachusetts
1827,MA,Massachusetts
1830,MA,Massachusetts
1832,MA,Massachusetts
1833,MA,Massachusetts
1834,MA,Massachusetts
1835,MA,Massachusetts
1840,MA,Massachusetts
1841,MA,Massachusetts
1843,MA,Massachusetts
1844,MA,Massachusetts
1845,MA,Massachusetts
1850,MA,Massachusetts
1851,MA,Massachusetts
1852,MA,Massachusetts
1854,MA,Massachusetts
1860,MA,Massachusetts
1862,MA,Massachusetts
1863,MA,Massachusetts
1864,MA,Massachusetts
1867,MA,Massachusetts
1876,MA,Massachusetts
1879,MA,Massachusetts
1880,MA,Massachusetts
1886,MA,Massachusetts
1887,MA,Massachusetts
1890,MA,Massachusetts
1901,MA,Massachusetts
1902,MA,Massachusetts
1904,MA,Massachusetts
1905,MA,Massachusetts
1906,MA,Massachusetts
1907,MA,Massachusetts
1908,MA,Massachusetts
1913,MA,Massachusetts
1915,MA,Massachusetts
1921,MA,Massachusetts
1922,MA,Massachusetts
1923,MA,Massachusetts
1929,MA,Massachusetts
1930,MA,Massachusetts
1937,MA,Massachusetts
1938,MA,Massachusetts
1940,MA,Massachusetts
1944,MA,Massachusetts
1945,MA,Massachusetts
1949,MA,Massachusetts
1950,MA,Massachusetts
1951,MA,Massachusetts
1952,MA,Massachusetts
1960,MA,Massachusetts
1966,MA,Massachusetts
1969,MA,Massachusetts
1970,MA,Massachusetts
1982,MA,Massachusetts
1983,MA,Massachusetts
1984,MA,Massachusetts
1985,MA,Massachusetts
2019,MA,Massachusetts
2021,MA,Massachusetts
2025,MA,Massachusetts
2026,MA,Massachusetts
2030,MA,Massachusetts
2032,MA,Massachusetts
2035,MA,Massachusetts
2038,MA,Massachusetts
2043,MA,Massachusetts
2045,MA,Massachusetts
2047,MA,Massachusetts
2048,MA,Massachusetts
2050,MA,Massachusetts
2052,MA,Massachusetts
2053,MA,Massachusetts
2054,MA,Massachusetts
2056,MA,Massachusetts
2061,MA,Massachusetts
2062,MA,Massachusetts
2066,MA,Massachusetts
2067,MA,Massachusetts
2071,MA,Massachusetts
2072,MA,Massachusetts
2081,MA,Massachusetts
2090,MA,Massachusetts
2093,MA,Massachusetts
2108,MA,Massachusetts
2109,MA,Massachusetts
2110,MA,Massachusetts
2111,MA,Massachusetts
2113,MA,Massachusetts
2114,MA,Massachusetts
2115,MA,Massachusetts
2116,MA,Massachusetts
2118,MA,Massachusetts
2119,MA,Massachusetts
2120,MA,Massachusetts
2121,MA,Massachusetts
2122,MA,Massachusetts
2124,MA,Massachusetts
2125,MA,Massachusetts
